FLIGHT_NUMBER,TAIL_NUMBER,AIRLINE
1942,N8643A,WN
1586,N64809,UA
355,N422UA,UA
1892,N910DN,DL
1113,N908DL,DL
5551,N720EV,EV
1659,N16709,UA
206,N489HA,HA
1106,N953DN,DL
2178,N617SW,WN
1484,N473AA,AA
602,N507JB,B6
784,N694DL,DL
383,N247WN,WN
3133,N602MQ,MQ
7370,N443SW,OO
1106,N483WN,WN
532,N419UA,UA
5477,N582SW,OO
5238,N767SK,OO
1506,N41135,UA
1226,N717SA,WN
318,N627NK,NK
3485,N493WN,WN
4834,N601WN,WN
485,N717UW,US
2416,N348NW,DL
739,N8611F,WN
2901,N607MQ,MQ
1293,N78509,UA
639,N844UA,UA
866,N371NB,DL
1553,N623JB,B6
688,N205UW,US
1046,N4YNAA,AA
1654,N578AA,AA
2617,N868CA,OO
1969,N930DN,DL
4651,N21537,EV
512,N355JB,B6
4672,N675BR,OO
5426,N290SW,OO
1715,N740SW,WN
1028,N3GNAA,AA
3391,N851MQ,MQ
1742,N908WN,WN
19,N525SW,WN
412,N757UW,US
703,N606JB,B6
1347,N471AA,AA
4564,N12569,EV
2705,N821AS,OO
4269,N29906,EV
5990,N12569,EV
723,N420UA,UA
221,N7726A,WN
1610,N392DA,DL
5914,N16541,EV
821,N129DL,DL
392,N814UA,UA
5366,N905SW,OO
2092,N108UW,US
464,N782SA,WN
3754,N730SW,WN
5,N387AA,AA
2680,N889AS,OO
5210,N884AS,EV
315,N487HA,HA
2442,N927DN,DL
1670,N310DE,DL
1859,N296WN,WN
2546,N311US,DL
3379,N428WN,WN
3383,N456WN,WN
991,N708SW,WN
70,N5CHAA,AA
1981,N956UW,US
1123,N18119,UA
5306,N844AS,EV
4567,N378SW,WN
1098,N229JB,B6
636,N676AW,US
1950,N675AW,US
799,N276AY,US
4976,N783SK,OO
856,N114UW,US
1543,N348NW,DL
3614,N690MQ,MQ
1712,N657AW,US
2422,N927DA,DL
1808,N549UW,US
3297,N291WN,WN
1916,N655DL,DL
153,N8326F,WN
601,N625JB,B6
494,N317AS,AS
2575,N988DL,DL
30,N553AS,AS
2495,N482AA,AA
1288,N953AT,DL
1835,N107US,US
5521,N113SY,OO
4634,N815SK,OO
5044,N744EV,EV
1656,N934AT,DL
4653,N440SW,OO
1767,N951DL,DL
1299,N3GGAA,AA
3274,N299WN,WN
4163,N279WN,WN
654,N581UW,US
362,N7703A,WN
1383,N4UCAA,AA
3925,N284WN,WN
426,N392SW,WN
5478,N615QX,EV
4138,N8320J,WN
581,N604AW,US
834,N531AS,AS
1393,N5DMAA,AA
1958,N365NB,DL
6521,N753SK,OO
3267,N13908,EV
672,N779JB,B6
2981,N817MQ,MQ
374,N3KNAA,AA
67,N553AS,AS
977,N341NW,DL
4953,N936EV,EV
4662,N13132,EV
277,N747SA,WN
1582,N910DL,DL
653,N742PS,US
2799,N261WN,WN
5543,N878AS,EV
4990,N744SK,OO
1925,N541US,DL
2684,N944SW,OO
5347,N752EV,EV
2783,N696MQ,MQ
1527,N805DN,DL
6532,N905SW,OO
6471,N122SY,OO
1850,N337NB,DL
257,N505UA,UA
1468,N3FCAA,AA
2375,N4XDAA,AA
904,N631NK,NK
5331,N856AS,EV
2353,N8610A,WN
4667,N8318F,WN
1023,N777QC,WN
4515,N611SK,OO
4734,N821SK,OO
772,N946DL,DL
1670,N3LXAA,AA
105,N442AS,AS
16,N374HA,HA
1408,N387DA,DL
4763,N947SW,OO
6338,N291SW,OO
2788,N907MQ,MQ
486,N373JB,B6
1573,N26226,UA
1571,N936DL,DL
3707,N942WN,WN
4375,N765SW,WN
689,N607NK,NK
469,N718SW,WN
123,N937JB,B6
3060,N282WN,WN
1367,N433LV,WN
340,N216JB,B6
6310,N578SW,OO
2545,N670DN,DL
1045,N67812,UA
1265,N947DL,DL
511,N704SW,WN
201,N491HA,HA
1753,N977AT,DL
590,N255WN,WN
5195,N951SW,OO
1337,N5DLAA,AA
4363,N7705A,WN
3311,N7734H,WN
4123,N13995,EV
1742,N908WN,WN
5803,N13913,EV
713,N435WN,WN
1617,N924AT,DL
5615,N984CA,OO
5638,N237SW,OO
1813,N995AT,DL
2837,N852MQ,MQ
1077,N942DN,DL
1885,N806AW,US
3678,N509MQ,MQ
2405,N990DL,DL
