FLIGHT_NUMBER,TAIL_NUMBER,AIRLINE
2428,N908WN,WN
4496,N13908,EV
133,N784AA,AA
4986,N983SW,OO
2566,N933DN,DL
1397,N717TW,DL
1227,N757LV,WN
2596,N864AS,OO
1827,N959UW,US
4832,N604SK,OO
239,N821UA,UA
1528,N955DN,DL
6241,N784SK,OO
1051,N33203,UA
827,N292JB,B6
2029,N380DA,DL
1348,N933FR,F9
964,N627VA,VX
643,N440AS,AS
786,N490WN,WN
738,N627SW,WN
3479,N608MQ,MQ
1099,N560AA,AA
1423,N373NW,DL
1445,N4XUAA,AA
1635,N021AA,AA
784,N854VA,VX
3943,N390SW,WN
3420,N631MQ,MQ
2345,N8326F,WN
162,N5DKAA,AA
1201,N493AA,AA
3183,N435WN,WN
2418,N479AA,AA
5951,N13992,EV
470,N509NK,NK
2286,N967AT,DL
6529,N724SK,OO
3157,N534MQ,MQ
3754,N291WN,WN
724,N215UA,UA
4662,N11113,EV
753,N465UA,UA
4396,N27962,EV
689,N297WN,WN
6169,N17196,EV
311,N258WN,WN
551,N521UW,US
2963,N663MQ,MQ
161,N293WN,WN
795,N524JB,B6
6034,N11106,EV
1973,N750UW,US
1136,N68836,UA
893,N194UW,US
430,N240WN,WN
1618,N697DL,DL
4579,N477WN,WN
523,N552AS,AS
2688,N885AS,OO
886,N636WN,WN
5513,N937EV,EV
5961,N13995,EV
859,N658JB,B6
1070,N375JB,B6
4189,N14558,EV
2549,N931WN,WN
2273,N360SW,WN
4788,N964WN,WN
1466,N915DL,DL
130,N007AA,AA
2103,N961DL,DL
1643,N394SW,WN
2038,N839AW,US
1708,N336NB,DL
416,N902WN,WN
4138,N12528,EV
62,N570AS,AS
910,N943WN,WN
572,N468UA,UA
1366,N467WN,WN
4580,N8982A,OO
1711,N8655D,WN
1456,N573AA,AA
1544,N964WN,WN
652,N752US,US
1125,N991AT,DL
547,N926WN,WN
1129,N918FR,F9
3925,N284WN,WN
2579,N928DL,DL
469,N526NK,NK
3075,N661MQ,MQ
5230,N709SK,OO
2210,N752AT,DL
3540,N673MQ,MQ
248,N477HA,HA
5801,N11194,EV
455,N845UA,UA
1483,N3ARAA,AA
788,N934FR,F9
743,N948DL,DL
469,N534NK,NK
5356,N916EV,EV
3622,N544MQ,MQ
373,N489UA,UA
5025,N136EV,EV
4649,N710SW,WN
1637,N771SA,WN
1364,N923DL,DL
2759,N636MQ,MQ
2307,N794SW,WN
442,N475WN,WN
659,N496UA,UA
1491,N4WLAA,AA
1522,N210FR,F9
1102,,UA
1841,N891AT,DL
1585,N33203,UA
5324,N604QX,EV
267,N654SW,WN
1681,N37434,UA
506,N8625A,WN
3923,N476WN,WN
565,N810AW,US
2413,N500WR,WN
774,N256WN,WN
3228,N235WN,WN
5263,N295SW,OO
4792,N822SK,OO
49,N779AS,AS
144,N3KKAA,AA
713,N721UW,US
1791,N128UW,US
5253,N920SW,OO
1279,N13716,UA
1654,N6700,DL
4588,N14514,EV
275,N562WN,WN
6270,N824AS,OO
3378,N556WN,WN
863,N835AW,US
546,N7712G,WN
1702,N7733B,WN
1267,N8610A,WN
