FLIGHT_NUMBER,TAIL_NUMBER,AIRLINE
174,N625NK,NK
3255,N531MQ,MQ
1641,N28457,UA
747,N249AU,US
5554,N916SW,OO
3957,N964WN,WN
5584,N794SK,OO
477,N408AS,AS
4696,N8982A,OO
2011,N823AW,US
4307,N710SW,WN
2803,N631SW,WN
3558,N615MQ,MQ
1977,N808AW,US
3002,N790SW,WN
833,N934WN,WN
5306,N578SW,OO
3487,N400WN,WN
6463,N751SK,OO
1722,N57870,UA
1221,N3ELAA,AA
5381,N132EV,EV
1964,N903DE,DL
1183,N201AA,AA
61,N764AS,AS
328,N257WN,WN
4650,N461SW,OO
2339,N595AA,AA
1860,N525US,DL
1922,N702UW,US
2947,N523MQ,MQ
4840,N646SW,WN
1807,N202UW,US
171,N934DN,DL
402,N309JB,B6
4298,N955WN,WN
1516,N352SW,WN
2682,N889AS,OO
2151,N900DE,DL
4772,N607SK,OO
576,N709SW,WN
275,N487WN,WN
1940,N895AT,DL
1273,N17244,UA
549,N555AY,US
1264,N642AA,AA
862,N518AS,AS
5347,N973SW,OO
1964,N810AW,US
2355,N5BVAA,AA
1605,N987AT,DL
4666,N12967,EV
1603,N66837,UA
593,N408UA,UA
476,N900DE,DL
2258,N513AA,AA
5736,N832AS,EV
4266,N281WN,WN
5495,N774SK,OO
3839,N374SW,WN
2494,N3KUAA,AA
2744,N964WN,WN
1784,N169UW,US
298,N522NK,NK
382,N574AA,AA
495,N614SW,WN
2069,N138DL,DL
2432,N915AT,DL
941,N947DN,DL
2478,N952DN,DL
662,N569AS,AS
4170,N14902,EV
6373,N116SY,OO
3935,N14923,EV
2011,N758US,US
1494,N324JB,B6
60,N388AA,AA
5581,N793SK,OO
6071,N13118,EV
1072,N456AA,AA
7403,N823AS,OO
1715,N727SW,WN
1246,N3BMAA,AA
4442,N631SK,OO
4404,N13903,EV
1148,N200WN,WN
1182,N324JB,B6
795,N906FR,F9
1133,N33203,UA
286,N526SW,WN
903,N951FR,F9
654,N552JB,B6
3415,N484WN,WN
1047,N477AA,AA
1172,N3HXAA,AA
2410,N399WN,WN
731,N402AS,AS
5209,N701SK,OO
5225,N295SW,OO
636,N649AW,US
48,N557WN,WN
5174,N538CA,EV
3116,N674MQ,MQ
158,N479WN,WN
3563,N7738A,WN
161,N797AS,AS
1589,N75410,UA
1546,N67171,DL
1874,N716UW,US
972,N620NK,NK
2155,N389SW,WN
2147,N515SW,WN
1430,N21723,UA
1568,N426AA,AA
345,N468WN,WN
581,N677AW,US
1137,N943WN,WN
5248,N755EV,EV
5995,N16976,EV
3412,N857MQ,MQ
3052,N620MQ,MQ
5334,N929SW,OO
296,N411UA,UA
608,N816UA,UA
1261,N247WN,WN
1798,N103US,US
1061,N79402,UA
173,N527NK,NK
3036,N676MQ,MQ
3853,N926WN,WN
1371,N662JB,B6
6311,N583SW,OO
2132,N213WN,WN
226,N8644C,WN
671,N677AW,US
2449,N5DEAA,AA
4371,N780SW,WN
763,N635NK,NK
435,N660AW,US
1176,N3JGAA,AA
5462,N748EV,EV
318,N438UA,UA
1566,N39418,UA
5556,N770SK,OO
360,N834UA,UA
660,N673AW,US
340,N934DL,DL
1030,N27213,UA
1509,N3DXAA,AA
4776,N608SK,OO
2361,N975DL,DL
4272,N11137,EV
4532,N24128,EV
450,N606NK,NK
5448,N936EV,EV
315,N236JB,B6
3166,N692MQ,MQ
921,N398DA,DL
405,N510NK,NK
47,N3GWAA,AA
4607,N14923,EV
2,N853VA,VX
5655,N978SW,OO
710,N588NK,NK
2421,N906AT,DL
3395,N798SW,WN
4742,N821SK,OO
787,N951DN,DL
5345,N701BR,OO
2418,N560AA,AA
2621,N869AS,OO
2078,N374NW,DL
136,N614AS,AS
2242,N908DA,DL
986,N915DN,DL
1942,N894AT,DL
2267,N664DN,DL
854,N741UW,US
3055,N831MQ,MQ
882,N254WN,WN
407,N621SW,WN
3605,N619SW,WN
1418,N506JB,B6
1551,N3CGAA,AA
6404,N119SY,OO
2058,N444WN,WN
563,N779AS,AS
402,N7737E,WN
775,N205UW,US
4274,N207WN,WN
2426,N3BLAA,AA
5389,N710EV,EV
4959,N258WN,WN
2967,N923MQ,MQ
1344,N6710E,DL
1655,N1612T,DL
1141,N15712,UA
4962,N873AS,EV
4691,N11137,EV
2433,N3APAA,AA
43,N583HA,HA
1559,N588NW,DL
309,N666DN,DL
154,N591JB,B6
4493,N477CA,OO
784,N852VA,VX
3442,N900MQ,MQ
4711,N12163,EV
1326,N3JVAA,AA
173,N774SW,WN
622,N649AW,US
1613,N353SW,WN
1353,N619SW,WN
591,N828AW,US
4177,N206WN,WN
1714,N489WN,WN
306,N795AS,AS
868,N632NK,NK
1217,N8624J,WN
2222,N3EBAA,AA
1220,N920FR,F9
748,N644JB,B6
2413,N915DL,DL
6286,N291SW,OO
4028,N903WN,WN
1794,N105UW,US
1399,N569AA,AA
5410,N915SW,OO
2300,N541AA,AA
1837,N714US,US
61,N756SA,WN
1862,N541UW,US
819,N8648A,WN
657,N817UA,UA
616,N998DL,DL
2321,N467AA,AA
6369,N763SK,OO
148,N3GEAA,AA
1273,N012AA,AA
2297,N436AA,AA
299,N652JB,B6
204,N280WN,WN
5166,N954SW,OO
901,N978DL,DL
575,N179JB,B6
940,N942DL,DL
1648,N75433,UA
442,N933FR,F9
38,N508AS,AS
144,N964WN,WN
2527,N954WN,WN
457,N374JB,B6
5230,N124SY,OO
2358,N496AA,AA
4344,N466WN,WN
2204,N394DA,DL
4664,N18101,EV
1718,N81449,UA
612,N513AS,AS
5527,N750SK,OO
712,N594JB,B6
2317,N3CMAA,AA
303,N655DL,DL
3200,N6EAMQ,MQ
1254,N3JJAA,AA
915,N944JB,B6
1198,N361NW,DL
4387,N364SW,WN
5464,N153PQ,EV
4572,N613SK,OO
2290,N253WN,WN
1495,N5BRAA,AA
4544,N437SW,OO
627,N649AW,US
2989,N521MQ,MQ
2243,N388SW,WN
2158,N967UW,US
3305,N511MQ,MQ
1285,N4YLAA,AA
1757,N6702,DL
355,N448WN,WN
5478,N308SW,OO
301,N464UA,UA
524,N520AS,AS
705,N184JB,B6
1849,N8637A,WN
1003,N484AA,AA
762,N502NK,NK
2648,N894AT,DL
3492,N918MQ,MQ
1678,N3744F,DL
5186,N941SW,OO
474,N818AW,US
6292,N730SK,OO
765,N329NB,DL
5048,N723EV,EV
2526,N917DE,DL
1579,N662DN,DL
2276,N594JB,B6
2140,N553NW,DL
1212,N006AA,AA
1767,N737US,US
187,N621SW,WN
6259,N787SK,OO
4808,N822SK,OO
1157,N77865,UA
5501,N923EV,EV
3362,N610MQ,MQ
422,N194DN,DL
1015,N4XNAA,AA
1828,N925AT,DL
4135,N14573,EV
4106,N11544,EV
44,N589HA,HA
1991,N399DA,DL
1499,N853AA,AA
1950,N520UW,US
6298,N930EV,OO
3758,N710SW,WN
