FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
1491,1000,845,ONT,OAK
714,1646,1514,OMA,ORD
506,1819,1515,ATL,SJU
1228,2120,1750,DFW,SLC
2563,1223,1110,GNV,ATL
1092,1300,615,ATL,LAS
6283,936,800,SFO,PSP
2547,1925,1825,DFW,SHV
5072,1353,1300,SHV,ATL
793,1916,1755,CLT,JAX
5470,1258,1137,ATL,LEX
3499,2137,1840,TLH,DFW
1296,1402,1003,KOA,LAX
2349,1626,1400,SFO,ATL
1092,1302,1000,EWR,FLL
2394,1704,1545,SNA,DFW
4929,1945,1830,LAX,OAK
2163,806,620,MSP,DCA
3594,1325,1210,BOS,BWI
1996,2218,2025,PVD,CLT
992,2058,1840,ORD,MSY
1826,915,730,PHL,BOS
2393,1325,1055,JFK,MCO
1992,1918,1505,MCO,MSP
629,906,650,PDX,LAS
43,2032,1530,SJU,JFK
1049,1340,1045,TPA,HOU
764,911,805,MKE,ATL
1328,1408,1305,DFW,OKC
1298,615,2259,LAX,KOA
4976,2243,1646,STL,SFO
3492,1240,950,SLC,PDX
3662,1407,1345,ORD,TOL
295,2000,1725,DAL,ELP
403,934,810,LAX,DEN
93,1941,1720,SAN,ORD
4492,2105,1734,IAD,MSP
4740,700,600,ORD,GRB
2597,1909,1820,LAX,SAN
2417,1453,1300,AUS,MCO
2042,1925,1645,ATL,EWR
1153,1011,814,LAS,ORD
4659,1040,835,LAS,PDX
2036,1806,1620,SYR,CLT
1302,1709,1404,DTW,FLL
4999,1337,1040,SLC,LAX
599,1655,1525,BWI,SDF
1091,1932,1115,PHL,SFO
1804,1227,900,FLL,DTW
326,1155,1020,STL,DFW
1452,1308,1025,DCA,ORD
1768,2048,2000,MEM,CLT
5919,724,615,ORD,CLT
442,1146,910,LAX,SEA
347,2007,1850,LGB,OAK
2602,1037,835,JFK,DTW
4834,1118,1012,SLC,IDA
661,1443,1310,SFO,DEN
5528,1324,1213,SFO,RNO
504,2357,2150,EWR,ATL
639,2111,2059,ONT,PHX
1470,1314,1116,ATL,CLE
991,2210,2050,SNA,OAK
4471,1740,1545,MCI,DCA
151,2135,1817,ORD,DEN
4021,1245,1015,MCI,DEN
1521,1556,1425,DAY,ATL
697,1713,1535,SFO,LAS
1344,925,820,ORD,IAD
1521,1345,1211,DAY,ATL
659,1535,1345,PDX,PHX
4404,2254,2157,PVD,EWR
4655,1550,1430,LAS,SJC
2636,1905,1814,ORD,MKE
1822,2024,1803,PDX,LGB
