FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
2837,1213,1100,CRP,DFW
1077,1732,1600,ATL,RDU
1885,2156,2015,BUF,CLT
3678,2224,2030,CID,DFW
2405,1922,1855,MEM,ATL
3262,1449,1245,JFK,IND
1,1235,900,LAX,JFK
1238,1143,605,IAH,SMF
2447,1451,1330,LAX,DFW
4983,2305,1945,IAD,MSP
1287,1015,530,MIA,MSP
2131,2047,1825,DTW,LGA
30,750,2330,JFK,LAX
5398,1827,1645,ATL,EWN
73,1210,1005,CLT,PHL
4819,2144,1757,PHX,SEA
744,1500,1300,SEA,SFO
4909,1349,1215,BOS,RIC
575,1736,1455,MSY,JFK
2007,830,600,LAX,MSY
1571,1950,1250,DTW,LAS
4688,1851,1715,STL,MSP
182,1240,1149,ITO,HNL
205,1639,1335,FLL,EWR
4546,1635,1315,FLL,ISP
4463,1036,902,VPS,IAH
3439,1026,730,TYS,DFW
1503,1120,859,DFW,FLL
824,854,625,PHL,PBI
1139,1200,1045,ONT,OAK
1986,2105,1825,BDL,TPA
1181,2053,1930,ATL,CLT
5151,1638,1530,ATL,TRI
5598,1923,1741,HPN,DTW
1245,1500,1400,DEN,DFW
847,1008,830,ORD,LGA
2164,2246,1926,DCA,MSP
2204,1225,1124,LAX,SLC
117,1322,1209,JFK,BOS
2566,1213,625,MSP,SFO
3444,1550,1355,BMI,DFW
1435,1432,1310,LGB,SFO
1249,2344,2120,DEN,MIA
2230,1305,1200,DFW,AUS
4999,1244,1230,MOB,ATL
1826,1508,1459,LAS,PHX
3214,1110,940,SFO,SNA
308,933,630,IAH,LGA
3378,1630,1505,JFK,DCA
4038,2010,1845,LAS,SFO
136,607,2340,JFK,PHX
323,1022,757,DEN,PHL
403,934,810,LAX,DEN
719,2126,1800,SFO,PHL
339,1425,1240,MDW,TPA
1964,1739,1630,JAX,ATL
1646,1858,1050,IAD,SFO
4939,1719,1614,TLH,ATL
916,2338,2110,DCA,MIA
1875,1818,1625,PBI,CLT
1794,1046,750,TPA,PHL
1458,1249,1101,RSW,ATL
139,1920,1825,TUL,DAL
1438,1159,835,CLT,IAH
1596,1940,1450,DFW,SNA
4579,752,635,DTW,PLN
698,2153,1922,LGA,MCO
2328,1105,830,DTW,MCO
5111,2117,1943,LNK,ATL
1711,1144,930,ATL,GPT
5441,825,718,SBP,SFO
910,2225,2055,LAX,DEN
2292,2147,1845,JFK,MIA
1049,2030,1910,DEN,DTW
