FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
174,1900,1610,LGA,FLL
3255,1200,1133,ORD,CMH
1641,1158,925,EWR,MCO
747,2200,2020,MCO,CLT
5554,1248,1105,SJC,DEN
3957,1815,1530,PHX,SMF
5584,1629,1430,MCI,IAH
477,846,600,SEA,LAX
4696,1605,1351,OKC,MSP
2011,2157,1930,PHL,PBI
4307,2245,2040,PHL,ATL
2803,1825,1300,MSY,SAN
3558,1811,1720,TXK,DFW
1977,843,645,CLT,DTW
3002,2120,1940,BWI,MHT
833,830,700,SAN,SMF
5306,2121,2035,LAX,CLD
3487,1515,1420,MDW,ATL
6463,737,600,LAX,SMF
1722,1744,1157,IAH,SFO
1221,2110,1925,ORD,MCO
5381,1631,1345,SAT,DTW
1964,1754,1645,JAX,ATL
1183,1324,1115,DFW,BNA
61,1417,1326,ANC,CDV
328,1530,940,MDW,LAX
4650,1322,1230,LAN,DTW
2339,1805,1535,DFW,ORD
1860,1951,1745,ATL,MIA
1922,2117,1955,CLT,JAX
2947,1049,930,DFW,LIT
4840,2030,1830,SEA,OAK
1807,2210,1925,PHL,MIA
171,1430,1015,MSP,PHX
402,2100,1809,JFK,FLL
4298,1850,1745,SJC,BUR
1516,2155,1910,CMH,FLL
2682,1124,950,GJT,PHX
2151,1001,700,LGA,MIA
4772,2136,1825,OMA,SLC
576,855,700,ATL,FLL
275,1545,1415,LAX,DEN
1940,1517,1210,ATL,DSM
1273,1035,915,IAH,TPA
549,1845,1515,PHX,PDX
1264,2239,2135,MCO,MIA
862,1930,1210,PDX,OGG
5347,1734,1625,MRY,LAX
1964,1041,900,CLT,MDT
2355,2232,1855,STT,MIA
1605,1336,1342,HSV,ATL
4666,1929,1745,AMA,IAH
1603,1021,845,SAN,IAH
593,2257,1925,DEN,SFO
476,1803,1505,JFK,FLL
2258,1546,1220,MCO,DFW
5736,936,816,LGA,IAD
4266,1345,1230,OAK,ONT
5495,1350,1020,DEN,PDX
3839,2125,1820,PVD,FLL
2494,1446,1105,SJU,MIA
2744,2145,1620,MKE,LAS
1784,1643,850,CLT,SFO
298,634,144,IAH,LAS
382,1625,1520,DFW,OKC
495,1335,1135,FLL,ATL
2069,1403,1225,ATL,MCO
2432,825,640,ATL,CHO
941,901,555,ATL,MCI
2478,2222,1955,BOS,ATL
662,1226,650,DFW,SEA
4170,1729,1422,EWR,MKE
6373,1416,845,DFW,SFO
3935,1148,853,BWI,ORD
2011,2157,1930,PHL,PBI
1494,2004,1730,HPN,MCO
60,2135,1755,MIA,DFW
5581,830,630,LAX,MSP
6071,953,818,SLC,DEN
1072,2355,2040,TPA,DFW
7403,2221,2126,INL,HIB
1715,1930,1830,BUR,SJC
1246,1857,1530,MIA,LGA
4442,1301,1020,SLC,GEG
4404,2254,2157,PVD,EWR
1148,755,635,SAN,SJC
1182,1608,1439,BOS,RIC
795,2324,2140,PDX,DEN
1133,2359,2156,DEN,IAD
286,1850,1755,AUS,DAL
903,1146,830,FLL,TTN
654,1529,1247,JFK,PBI
3415,1040,845,ATL,FLL
1047,2145,2017,DFW,ATL
1172,1123,950,DEN,ORD
2410,1355,1220,BWI,MHT
731,2030,1740,SEA,IAH
5209,1720,1325,ORD,ASE
5225,1724,1605,SFO,BFL
636,1638,1445,PHX,IAH
48,2330,1945,DCA,DAL
5174,1500,1355,TLH,ATL
3116,940,827,ORD,CID
158,1350,1015,MSY,DEN
3563,2115,1915,OAK,AUS
161,2059,1715,ANC,ADK
1589,1600,1234,ORD,DEN
1546,1700,1126,ATL,PHX
1874,2021,1815,DCA,MCO
972,939,600,FLL,DFW
2155,1045,815,PHL,MCO
2147,1000,710,HOU,ELP
1430,1725,1117,ORD,SNA
1568,1039,945,OKC,DFW
345,1830,1610,OMA,DEN
581,1035,730,SAN,PHL
1137,1625,1410,SAN,MSY
5248,1850,1715,MDW,MSP
5995,849,815,ORD,CAK
3412,1625,1536,ORD,TYS
3052,1800,1741,ORD,FNT
5334,1414,1320,DEN,MAF
296,2011,1849,RNO,DEN
608,1348,1100,DCA,ORD
1261,1645,1505,ATL,MCO
1798,1851,1720,CLT,DCA
1061,1402,1220,DEN,ORD
173,955,730,TPA,LBE
3036,1230,1125,XNA,DFW
3853,1055,955,BUR,SJC
1371,26,2130,FLL,LGA
6311,2319,2226,PSP,LAX
2132,1155,920,BWI,FLL
226,2110,1750,MDW,DEN
671,1910,1732,PHX,DFW
2449,1520,1400,LAX,DFW
4371,2325,1940,DCA,HOU
763,2319,2159,LAS,MSP
435,1339,1125,SEA,PHX
1176,1550,1102,DFW,SNA
5462,1811,1546,JAX,DTW
318,1647,1303,PIT,IAH
1566,1040,820,MCO,IAD
5556,1327,830,AUS,LAX
360,901,718,DEN,BZN
660,1245,1105,EWR,CLT
340,905,725,MSP,ATL
1030,1039,900,ORD,EWR
1509,1550,1305,MIA,BWI
4776,1259,1125,MSP,STL
2361,1955,1655,ATL,IAH
4272,1642,1521,DCA,CLE
