FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
124,1545,1330,CLE,MDW
5501,1940,1810,LAX,ICT
647,2125,2010,DEN,SAT
7390,2229,2120,GCC,RKS
2478,830,550,MCO,PHL
1212,540,2215,LAX,HNL
2153,818,715,ATL,AGS
433,1020,630,PHX,JFK
462,1034,700,SLC,JFK
2499,2140,1859,LGA,TPA
3502,2006,1820,RDU,LGA
6445,2056,1830,TUS,LAX
3599,2150,2030,BOS,BWI
2425,1204,1040,LAX,DFW
442,2117,1951,MCI,DFW
1517,1450,1240,PHX,SAN
3478,1402,1220,LGA,DTW
3917,1500,1330,ATL,RDU
5783,838,740,LFT,IAH
1460,947,745,ATL,MIA
6292,1057,800,ALB,ORD
1544,1430,1057,DEN,SFO
3690,1545,1450,MLI,ORD
844,1740,1640,ISP,BWI
3414,2110,1935,SAN,SFO
520,740,610,ORD,MSP
1261,1610,1304,DFW,TUS
32,2240,1415,JFK,LAX
1015,1651,1535,SAN,DFW
751,2059,1825,SEA,STL
4571,2000,1755,SJC,SEA
2637,2030,1945,MKE,ORD
3961,2050,1816,TYS,ORD
442,2115,1949,MCI,DFW
878,2140,1805,DCA,DAL
4524,830,640,MDW,MHT
5427,1245,1152,SFO,SMF
2305,1815,1230,MSP,SFO
1699,2108,1711,SFO,BOS
2174,2305,2000,AUS,DEN
1586,1600,1345,LGA,ATL
3932,1636,1431,IND,ORD
371,2020,1744,SEA,ORD
4546,1913,1616,RIC,ORD
152,1337,1050,BOS,MCO
312,1615,840,MCO,LAX
1691,1910,1755,LAS,LAX
3741,1730,1345,MCO,MKE
260,1605,1330,TPA,BWI
310,2150,2005,FNT,BWI
2376,1055,901,ORD,BOS
489,1235,1115,MDW,JAX
559,855,545,IAH,LGA
2172,1925,1745,ATL,TPA
1291,1416,1145,ORD,FLL
3604,1420,1330,DFW,LAW
531,1216,945,LAX,ORD
2353,2255,2030,DFW,ORD
1679,2053,1940,PIT,DTW
2336,2047,1930,MKE,MSP
713,1012,845,CLT,JAX
4589,806,635,IAH,JAN
1946,1108,950,ORD,CLT
1057,1813,1603,DEN,BWI
4743,2125,1910,SLC,LAS
5378,1510,1339,RST,ATL
1974,1741,1455,FLL,DCA
308,2205,1823,MCO,ORD
4403,1610,1050,MSY,LAS
4511,2215,1940,IND,RSW
3553,950,645,ATL,DAL
1713,2151,1340,PHL,SFO
5013,1631,1454,PHF,ATL
10,930,830,DAL,HOU
1967,1810,1510,PBI,HPN
5299,809,718,MKE,ORD
2169,1228,1055,MCO,ATL
1595,755,650,DFW,AUS
1857,1316,1023,SLC,SEA
785,2100,1652,LIH,LAX
6380,1355,1119,BOI,SFO
239,1800,1723,LIH,HNL
2518,1840,1640,DAL,BHM
362,2217,2000,MKE,DFW
6377,832,720,DEN,CPR
1822,1849,1730,ATL,CHS
382,1625,1523,DFW,OKC
2270,2039,2045,BHM,ATL
2244,2200,1845,CLT,DFW
1743,859,705,SFO,PDX
2699,1205,1035,DEN,STL
64,1444,1355,PSG,JNU
1156,1007,631,SFO,PHL
3316,2355,1905,DAL,LAX
1602,23,2145,JFK,FLL
3425,1222,1100,ORD,DSM
240,1901,1828,HNL,LIH
1757,1159,956,SNA,ATL
4546,1930,1710,DAL,FLL
6330,1430,1325,FAT,LAX
6345,1329,1256,DEN,LNK
3666,1115,1003,ORD,LSE
231,848,700,FLL,ATL
4375,1005,725,RSW,IND
922,1642,1538,SLC,BOI
4558,759,603,CLE,LGA
5524,1020,920,DEN,ASE
531,1308,1155,LAS,LAX
1333,2110,1850,SLC,ATL
1071,1729,1444,EWR,PBI
765,1450,1140,DAL,LGA
2518,2230,2100,SMF,SAN
1762,1512,650,JFK,LAX
1069,2310,1945,MCO,DAL
1294,1550,1415,PDX,OAK
5451,1126,945,DTW,MDT
2617,2024,1912,LAX,FAT
4132,805,620,ATL,RIC
1110,1535,1315,MCO,CLE
2233,1409,1315,MSP,IND
2461,1928,1900,MEM,ATL
5208,2029,1740,BOI,ORD
6347,2032,1504,AUS,SFO
6499,1950,1845,CPR,DEN
1753,1355,1025,SJU,FLL
3142,1905,1725,OAK,PDX
5474,1648,1603,ATL,CSG
194,850,740,LAS,SAN
1701,1425,1105,DEN,SMF
2726,1121,954,DRO,PHX
358,1201,744,PHL,IAH
2158,1920,1800,BOS,LGA
622,1524,1235,DTW,RSW
4357,1519,1343,EWR,ORF
424,2250,2125,MSP,MDW
761,2220,1945,TPA,BWI
3225,1414,1247,JFK,DCA
607,1425,1305,LAX,SMF
3680,635,540,ORD,MSN
1311,1402,1255,ORD,CLT
1201,1813,1538,DEN,LGA
4453,1425,1150,ATL,STL
1936,1403,1215,EWR,CLT
1861,1820,1544,ATL,LIT
5240,815,645,ATL,CRW
1240,2327,2030,PHX,SFO
516,2207,2105,SMF,PHX
4688,2100,1926,MSP,STL
2070,1308,950,AUS,PHX
304,1334,1150,SFO,LAS
3299,1645,1601,DFW,ACT
1098,1939,1805,OMA,ATL
19,1205,1100,HOU,DAL
5931,1649,1436,ORD,JAN
302,1744,1125,ORD,SFO
1522,1120,1105,SAN,TUS
4179,1025,907,MFE,IAH
2217,2305,2210,ORF,BWI
4590,2218,1925,DAY,MSP
2096,1706,1325,LGA,MSP
5503,1618,1520,FWA,DTW
4546,1017,720,RIC,ORD
5173,1057,938,LAX,ASE
4197,1101,900,MCI,IAH
3739,1210,1040,ATL,MCO
2963,1335,1050,DCA,MDW
964,800,625,DEN,HOU
4747,1021,918,CRP,IAH
1138,1206,1025,IND,ATL
1146,2248,2040,RIC,FLL
3436,944,825,JAN,DFW
4680,1210,1102,EUG,SLC
2279,1330,1055,ORD,AUS
4609,1157,1055,IAH,CRP
1570,1752,1555,LAS,ORD
5319,1002,759,GSO,LGA
1699,855,658,DFW,TPA
2972,1412,1315,SHV,DFW
2426,1925,1815,LAS,SAN
321,2257,1935,PBI,BOS
2221,1642,1345,ATL,PVD
648,2320,2210,PVD,BWI
283,1435,1030,HNL,LAX
1633,1624,1350,DFW,MSP
4473,730,600,SAN,OAK
6409,1522,1332,PDX,SFO
320,1330,1230,DAL,SAT
970,1501,1355,TLH,ATL
380,1335,1035,LGA,ORD
3206,1113,920,GRR,ORD
6299,2032,1852,BFL,DEN
636,2018,1842,ORD,MCI
4128,841,720,MOB,IAH
192,613,2150,BOS,LAX
1683,1247,1121,SNA,DEN
4860,1812,1615,DEN,LFT
2534,521,2230,DTW,LAS
423,1648,1400,SEA,LAX
201,809,719,HNL,ITO
2946,840,720,DFW,LCH
4499,1823,1624,MCI,IAH
2387,2232,1915,MIA,JFK
1555,1325,1117,LAX,ATL
1401,1629,1323,FLL,JFK
282,2130,2000,SMF,SAN
955,1330,1215,LAX,OAK
4484,1459,1345,BOI,SLC
1436,1834,1712,SFO,LGB
5121,2035,1935,CLE,DTW
6064,1225,1118,ORD,CID
5604,1652,1534,AVP,DTW
1676,2350,2215,BNA,DFW
1065,1508,650,EWR,SNA
4982,1445,1355,LAX,SAN
824,1259,712,DTW,PHX
4362,1554,1304,MSP,IAH
842,1253,1055,JFK,SAV
4494,922,735,IAH,AMA
5558,1839,1644,DTW,RIC
4541,758,525,SLC,LWS
2212,1130,915,ATL,PNS
760,2017,1300,ATL,SMF
4699,1216,1130,RAP,MSP
1734,1358,1114,DTW,MSP
916,546,2125,JFK,SFO
1687,2020,1620,FLL,ORD
4295,1550,1402,ORD,HSV
1867,2039,2015,BNA,CLT
4530,1834,1730,MSP,FSD
2053,41,2146,PBI,JFK
3430,950,822,ORD,DSM
2465,1445,1229,BDL,ATL
3471,2103,1930,LGA,RDU
307,2058,2015,HNL,KOA
1738,1741,1500,PHL,RSW
1712,505,2107,EWR,SNA
2458,2250,1910,ORF,DFW
4589,1216,1115,LGB,SLC
1869,904,615,SLC,ONT
351,1603,1500,IAH,DFW
5192,1939,1650,ATL,MLI
117,654,545,DEN,MSP
2211,726,131,MIA,PHX
1027,2255,2110,SJC,DEN
2484,2338,2230,SAN,DFW
1047,2235,1914,SAN,EWR
2912,1120,800,LGA,STL
2290,851,645,ATL,PIT
2310,1348,1045,ATL,DFW
3486,2110,1820,BDL,RSW
4654,1240,1125,HRL,IAH
1362,2045,1905,OMA,DFW
118,813,730,KOA,HNL
531,1005,721,PHX,DTW
4261,1300,950,ATL,SAT
268,908,725,DEN,JAC
3038,2153,2040,LFT,DFW
427,1535,1425,LAS,MCI
1429,1732,1305,EWR,IAH
27,2015,1630,SFO,JFK
945,1235,1115,LAX,SMF
175,837,600,DFW,DCA
501,1105,800,FLL,JFK
3468,1825,1730,ORD,BMI
350,1004,715,EWR,PBI
558,2357,2245,BOS,PHL
1433,2140,1905,DAL,ABQ
3771,1815,1530,PHX,SJC
548,717,640,SEA,BLI
7368,655,534,DTW,ESC
1233,1110,937,ORF,ATL
3325,1431,1245,GRR,ORD
1021,1709,1505,MSN,MCO
3955,1455,1327,IAH,MAF
5477,2306,2220,CLD,LAX
1132,2037,1904,BIL,DEN
2002,1322,1140,CLT,TPA
4635,1432,1316,MKE,MSP
483,1205,905,MCO,JFK
671,920,650,MCO,CMH
334,1310,1132,DFW,MFE
747,2230,2001,DFW,MSP
322,1753,1550,SJC,SEA
1446,2034,1832,BOS,CLT
1256,1902,1348,IAH,LAX
341,1702,1605,AUS,DFW
2159,2124,1815,MCO,JFK
619,2238,2107,SAN,IAH
1603,806,620,IAH,RSW
4741,1400,1015,PHX,SEA
1931,1540,815,BWI,LAS
566,2245,2140,MDW,STL
730,1750,1640,CHS,ATL
212,1845,1320,DFW,SFO
925,1940,1835,BUR,OAK
129,825,635,DFW,JAX
3946,1214,1113,ORD,MSN
3306,2343,2150,TOL,ORD
462,1344,1020,SFO,PHL
5787,1623,1505,MFE,IAH
2148,1541,1352,LGA,DTW
2107,1504,1339,DAL,ATL
1926,2204,1410,PHL,LAX
1078,1515,1350,DEN,STL
4175,1310,1130,OAK,PDX
5134,2219,2040,BIS,MSP
333,1948,1554,DCA,IAH
2586,1634,1330,MSP,MIA
89,1150,900,LAX,IAD
872,2325,1940,BWI,HOU
3560,1900,1720,OAK,PDX
4970,1810,1440,MCI,PHX
4973,1744,1536,ATL,GTR
2593,1342,1113,TUS,MSP
4492,1500,1341,DTW,CIU
1705,740,600,DEN,HOU
4970,2015,1845,BNA,MCI
5911,1218,1115,ORD,GRB
4425,2050,1725,BNA,DEN
3036,1415,1255,DFW,XNA
2501,1245,1135,GEG,MSP
2562,1453,1130,FLL,LGA
1934,1555,1415,ATL,CVG
243,18,2100,SFO,MIA
1252,2121,2008,BOI,SLC
963,905,735,MDW,MCI
6471,1520,1244,DFW,ORD
410,907,845,SNA,PHX
386,2015,1822,DFW,JAX
4459,935,655,DAL,DCA
1308,1445,1320,MCI,DAL
6111,1653,1443,CHS,EWR
3101,1456,1245,OKC,ORD
2441,1402,645,ATL,SNA
2007,1107,800,RSW,PHL
408,42,1925,DFW,OAK
1571,1240,1112,SFO,LAX
1080,1335,1145,EGE,ORD
4364,1556,1441,IAD,EWR
1020,1451,1212,IAH,DCA
1630,1716,1430,JFK,RSW
362,1635,1505,TPA,ATL
2368,846,730,ATL,TRI
4673,2105,2001,BUR,SLC
238,2049,1805,MIA,DCA
2318,1639,1323,MSP,BZN
1141,1302,1111,PDX,DEN
1086,927,600,IAH,DEN
878,2140,1805,DCA,DAL
4610,1722,1332,PHX,SEA
983,540,2330,MCO,SLC
639,1331,1053,TPA,DTW
1829,1050,735,MIA,DTW
365,1417,1340,HNL,OGG
1543,2017,1755,ORD,FLL
328,1158,1119,OGG,HNL
3419,815,650,DFW,LFT
4589,1229,1123,LGB,SLC
1247,815,659,DFW,TUL
1707,1007,745,CLT,BNA
3502,1745,1530,LAS,BNA
4721,1600,1315,BDL,RSW
1171,1540,1316,ORD,MIA
894,2027,1729,DFW,DEN
312,939,759,ORD,EWR
3514,930,610,DEN,ONT
3683,1418,1255,LRD,DFW
921,1337,1140,MYR,LGA
1776,2155,2040,ABQ,DEN
312,1742,1430,BOS,ORD
303,953,915,LIH,HNL
657,1454,1305,IAH,CLT
866,1853,1535,ORD,SJU
495,1335,1135,FLL,ATL
1936,1403,1215,EWR,CLT
637,1000,800,SEA,PHX
4326,2000,1804,EWR,CLT
1429,2115,1945,LAX,SFO
259,1701,1526,SMF,DEN
2862,1350,1135,MDW,MSY
1453,1226,707,MSP,SEA
1762,1241,800,SJU,CLT
3042,925,715,PHX,LAS
2680,1408,1259,BOS,LGA
1146,1711,1128,DFW,SEA
391,2128,1408,LAX,OGG
6228,1011,805,BOI,DEN
2318,1639,1323,MSP,BZN
593,2030,1905,SFO,PSP
5533,910,720,DTW,GSO
90,500,2059,JFK,SAN
3213,1155,825,HOU,PHX
1051,1007,940,MEM,ATL
166,2115,1255,EWR,LAX
454,1250,1200,OKC,DAL
6133,633,602,ORD,ERI
443,2142,1815,SEA,JFK
1154,2105,1845,MSP,DFW
1598,2240,1930,MIA,EWR
595,1805,1620,BWI,ATL
4765,1010,815,GRR,ORD
470,1705,1555,MDW,BWI
534,459,2145,LAX,HNL
29,2046,1910,DFW,ATL
523,1841,1750,RNO,PHX
260,1805,1635,STL,TPA
5447,1404,1257,MYR,ATL
1927,1719,1530,CLT,PHL
2330,1617,1525,AVL,ATL
178,1205,1035,SMF,LAS
4010,1030,745,HOU,BWI
4318,1453,1310,GSO,EWR
3261,1018,814,ATL,IAD
1320,1300,800,STT,JFK
6232,1643,1510,JAC,DEN
2060,746,605,LGA,CLT
1527,1936,1618,DFW,PHX
670,1740,1145,AUS,SEA
1574,2036,1731,IAD,SJU
3535,2039,1850,CMH,JFK
4210,900,815,BNA,RDU
1246,912,544,DEN,SFO
1312,2213,1957,SMF,ATL
548,1753,1515,HPN,TPA
940,1905,1900,SAN,PHX
1103,1842,1545,MSP,FLL
1318,1030,650,DFW,BOS
1450,2104,1908,PDX,DEN
1999,1508,1215,CLT,ORD
460,1322,1031,BDL,FLL
886,853,645,LGA,ATL
633,1705,1505,SEA,PHX
413,827,620,CLT,JFK
3132,1457,1240,DTW,ORD
256,2155,1330,JFK,LAX
2411,1333,1155,ATL,CVG
4744,1924,1827,ORD,GRB
5370,817,607,MBS,ORD
1997,845,700,PHL,BOS
4663,1335,1235,SAT,DAL
3268,828,728,SHV,IAH
2004,1105,945,DEN,DTW
4549,1030,840,PHX,SLC
19,1255,920,HNL,SMF
431,1555,1345,DTW,MDW
3637,1855,1705,ORD,XNA
2186,2158,1945,LGA,ATL
106,1355,1110,PHX,SMF
1225,1305,1045,BWI,PBI
5961,719,615,ORD,SCE
4457,1510,1155,MDW,DEN
3159,1138,1010,DFW,LFT
1422,739,600,EWR,CLE
1768,1420,1055,DCA,MSP
5142,1030,834,PVD,DTW
2995,1900,1720,LGA,CMH
1590,2150,1730,BOS,DFW
1452,1308,1025,DCA,ORD
5613,1722,1506,PVD,ATL
4464,1510,1220,SFO,MKE
3686,1423,1300,BNA,ORD
426,1840,1700,RSW,ATL
124,1100,625,SEA,FAI
3277,925,740,GRR,ORD
975,1406,1245,MSY,DFW
1579,1610,1350,SLC,LAS
966,830,620,CMH,MDW
213,1712,1355,LGB,JFK
4,805,700,DAL,HOU
1451,1805,1640,MKE,MCI
2302,1825,1630,DFW,MCO
1433,1835,1610,ABQ,LAS
852,848,630,CLT,BNA
1732,631,515,CLT,ORF
1098,1939,1805,OMA,ATL
904,1740,1449,BDL,RSW
2905,900,812,ORD,MQT
5804,1007,830,MCI,ORD
312,2255,2000,JFK,MIA
523,750,625,BWI,CMH
3526,1916,1720,CMH,LGA
4469,1729,1616,IAH,LRD
4118,2050,1955,LAS,DAL
5187,1254,937,ASE,SFO
1702,2048,1750,FLL,PHL
4116,2101,1936,IAH,MAF
2999,1433,1225,CVG,ORD
2565,1301,1041,SLC,LAS
626,1142,1025,BOS,BWI
2018,1019,835,CLT,PIT
1132,1120,940,PHX,DFW
1563,737,600,ORD,LGA
1207,1620,1050,PHL,DEN
1077,1529,1405,RDU,ATL
4916,828,600,ATL,HPN
1337,2311,2145,MCO,ATL
5516,1350,1228,LAX,FAT
100,1320,1010,AUS,PHX
2711,1615,1610,SAN,PHX
178,935,715,LAS,BNA
5633,854,800,DEN,COS
3476,833,650,MIA,CHS
817,6,2310,LAS,DFW
4631,1401,1238,CMH,IAD
1136,903,607,DEN,LAS
1889,1512,1315,SAN,MSP
689,750,600,DEN,MKE
6249,1726,1155,DFW,SFO
1860,1655,1500,MIA,ATL
3212,1950,1755,TPA,RDU
951,1919,1553,MCO,BOS
5318,1344,1309,ORD,CMX
1726,1900,1657,ATL,FLL
662,1011,730,SFO,CLT
194,1850,1813,OGG,HNL
1310,1515,1307,DFW,CLE
307,2150,1855,LAX,BWI
2214,2225,2105,BNA,MDW
403,2004,1453,IAH,SNA
223,1200,1015,DCA,IND
1537,850,645,ATL,CLE
6238,1851,1727,SFO,ACV
681,2254,2015,RSW,DCA
377,2110,2033,LIH,HNL
614,1610,1240,PHX,PHL
681,1837,1630,LAX,CMH
986,954,745,LGA,ATL
395,1502,830,SJU,ORD
676,1106,735,DEN,SEA
3415,1610,1440,OMA,MDW
4083,1015,810,OAK,SEA
657,1209,1015,CLT,RSW
223,2250,1925,BNA,DEN
454,850,745,LAS,SNA
2232,2005,1820,ATL,CMH
1440,1947,1740,ATL,BWI
2082,1840,1630,BWI,MCO
495,1016,645,PHX,PHL
5020,1426,1240,LGA,CHS
4112,1651,1513,IAH,TUL
1834,1130,715,EWR,HOU
2169,813,700,DCA,LGA
1159,1602,1433,LAX,SFO
1267,935,745,ORD,TPA
4355,2019,1838,IAH,JAX
155,1641,1413,LAX,ORD
2399,1606,1415,ATL,RIC
205,2250,2015,LAX,MCO
4107,1305,1130,ATL,TPA
954,2245,2125,SJC,LAS
994,500,2322,BOS,DEN
4210,10,2110,MHT,MDW
103,1535,1415,MSY,DFW
2504,1535,1355,SFO,LAS
2304,2314,2151,TPA,ATL
785,1837,1550,TPA,PHL
394,1423,1349,HNL,LIH
783,957,620,ATL,MSP
452,901,846,SAN,PHX
4453,930,754,IAH,MOB
219,1010,802,CLT,JFK
1972,1355,1200,CLT,PBI
2783,1415,1340,ORD,SDF
978,1510,1350,SFO,LAX
249,1025,925,ELP,HOU
5206,2310,2014,PHX,SFO
4641,2049,2008,FAT,SLC
4725,1351,1250,BTR,IAH
4825,1355,1240,SJC,LAX
1479,1629,1110,IAD,DEN
1906,805,640,LAS,SJC
3767,1145,735,LGA,HOU
894,1911,1705,CLT,LGA
2267,1250,1035,MDW,MSY
65,1931,1615,DFW,JFK
6410,1830,1704,SFO,BUR
1466,2051,1720,PIT,DFW
1760,2337,2057,ANC,SEA
289,2028,1707,MIA,IAH
1256,1000,600,MIA,ORD
5224,1616,1440,ORD,MCI
1745,1212,640,MSP,SMF
2330,1617,1525,AVL,ATL
227,1208,1124,HNL,KOA
2237,1630,1540,LAS,OKC
1219,854,600,LGA,MIA
2550,2011,1850,RAP,DFW
1541,1132,750,MIA,BOS
4997,1852,1600,DTW,MCI
3587,1155,1030,PWM,BWI
1057,2057,1908,SFO,DEN
365,726,545,DEN,MKE
2140,1135,1030,ISP,BWI
2266,1917,1530,MIA,DFW
4160,839,723,STL,ORD
1109,1513,1200,FLL,DTW
2942,1845,1635,DFW,HSV
983,1656,1510,DEN,ORD
682,1840,1725,DEN,ABQ
1923,2100,1757,LGA,MIA
486,1838,1659,LAS,SFO
1069,1650,1555,AUS,DAL
413,2245,2115,STL,DAL
345,2325,2050,ATL,STL
4297,1950,1835,LAX,OAK
379,1500,1310,ATL,RSW
1555,2003,1401,ORD,SEA
690,900,800,GEG,SEA
2372,1350,1040,MCO,HOU
2384,854,615,SLC,SMF
3179,1605,1315,ISP,FLL
1157,1300,1125,LAS,LIT
1127,648,2239,EWR,SFO
5174,1355,1141,IAH,CLE
