FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
2428,2240,2145,DAL,AUS
4496,1841,1743,GRK,IAH
133,2007,1630,LAX,JFK
4986,1027,814,CVG,ORD
2566,1213,625,MSP,SFO
1397,1802,1359,OGG,SEA
1227,1540,1315,ABQ,LAS
2596,810,731,LAX,TUS
1827,1305,1130,PHL,BOS
4832,950,823,LAX,SJC
239,1200,953,MTJ,ORD
1528,1822,1635,MSP,ATL
6241,945,800,SFO,OKC
1051,1639,1500,ORD,LGA
827,1917,1740,BWI,BOS
2029,1537,1345,SLC,MSP
1348,855,605,RSW,IAD
964,2215,2050,SAN,SFO
643,1414,1205,SEA,PHX
786,850,745,MKE,ATL
738,1915,1755,RNO,LAS
3479,1053,910,AZO,ORD
1099,945,658,DFW,ORF
1423,1329,1242,STL,ATL
1445,1450,1340,SAN,DFW
1635,755,625,DFW,ATL
784,1325,1055,LAX,SEA
3943,2150,2035,LAS,SMF
3420,1230,1134,DFW,CLL
2345,2200,2000,PHX,DEN
162,2103,1338,LAX,HNL
1201,1655,1420,ORD,AUS
3183,925,650,PVD,MCO
2418,1820,1709,DFW,SAT
5951,1710,1626,ORD,TYS
470,1602,1125,DFW,LAS
2286,1442,1205,JFK,TPA
6529,1030,900,LAX,DFW
3157,1650,1313,ORD,ABQ
3754,925,600,DEN,LAX
724,2100,1355,SFO,HNL
4662,1105,811,CLT,ORD
753,1304,1003,TPA,EWR
4396,1649,1504,IAH,XNA
689,1245,1120,LAS,OAK
6169,1559,1407,IAH,CHS
311,2325,2110,TUS,LAX
551,1946,1633,DFW,PHX
2963,1735,1510,CVG,JFK
161,1100,925,DEN,SLC
795,1209,840,AUS,JFK
6034,2338,2100,ELM,ORD
1973,1208,1025,CLT,TPA
1136,1437,1145,DEN,LAS
893,1209,1025,CLT,MCO
430,935,710,MDW,HOU
1618,906,720,ATL,MCO
4579,1910,1640,BWI,FLL
523,1335,1100,SEA,BUR
2688,2125,2059,BFL,PHX
886,1005,800,PHX,DEN
5513,1718,1624,CAE,ATL
5961,719,615,ORD,SCE
859,2320,2015,FLL,BDL
1070,2132,1830,BOS,FLL
4189,1454,1328,IAH,MAF
2549,1130,745,HOU,BOS
2273,1600,1500,SMF,PHX
4788,1850,1725,TPA,ATL
1466,1820,1649,ATL,GSO
130,806,702,TPA,MIA
2103,1900,1650,CVG,MCO
1643,915,635,SAN,SEA
2038,2044,1910,CLT,PIT
1708,1023,910,DEN,MSP
416,2120,2020,LAS,BUR
4138,812,714,IAH,GRK
62,940,800,JNU,ANC
910,2025,1945,DEN,OKC
572,1010,900,MSY,IAH
1366,1310,1020,PHX,OAK
4580,1025,800,MSP,BNA
1711,2325,1750,FLL,DEN
1456,1540,1340,DFW,MCO
1544,2225,2055,MDW,EWR
652,1342,947,STL,PHX
1125,1250,1105,IAD,ATL
547,1715,1210,HOU,LAX
1129,2255,2025,CLE,TPA
3925,1850,1825,BUR,PHX
2579,1011,805,ATL,CLE
469,1316,1145,OAK,LAS
3075,1311,1158,ORD,GRB
5230,2025,1903,IAH,ATL
2210,1222,805,HNL,SEA
3540,844,600,MIA,PNS
248,1829,1746,KOA,HNL
5801,1905,1758,DEN,MTJ
455,2355,2225,SAN,SFO
1483,2308,1950,MIA,LGA
788,1329,1005,DEN,PDX
743,2120,1945,ATL,RDU
469,1316,1145,OAK,LAS
5356,1748,1555,ATL,PHF
3622,1740,1444,DFW,ASE
373,1753,1544,DEN,TPA
5025,1450,1340,GRB,ATL
4649,1610,1410,ATL,FLL
1637,2355,2155,BOI,DEN
1364,2115,1816,ATL,MCI
2759,1040,1015,ORD,CVG
2307,735,600,MDW,MSP
442,2045,1845,DEN,MSY
659,2244,2114,DEN,IAH
1491,2215,1920,DFW,DEN
1522,2320,2035,FAR,DEN
1102,2240,1908,ORD,DEN
1841,2024,1746,ATL,SYR
1585,1210,615,ORD,PDX
5324,1242,1132,FAR,MSP
267,2335,2025,DAL,PHX
1681,2159,1815,TPA,ORD
506,920,720,DEN,PHX
3923,1625,1355,LAS,BWI
565,1512,1110,PHL,DFW
2413,1935,1715,MDW,FLL
774,850,700,MCO,RDU
3228,2235,1955,PVD,TPA
5263,1719,1626,SAN,LAX
4792,1951,1900,PDX,SEA
49,1629,1530,ADQ,ANC
144,1545,1335,DFW,PBI
713,1304,1120,MSP,CLT
1791,1515,1344,CLT,BWI
5253,2235,1950,SGF,DEN
1279,1152,904,EGE,EWR
1654,2044,1335,ATL,LAX
4588,1339,1210,IAH,GPT
275,1320,1120,DEN,JAX
6270,1144,1045,RNO,SFO
3378,1550,1500,HOU,AUS
863,1339,1205,CLT,IND
546,1600,1430,MCI,MDW
1702,1015,645,MDW,DEN
1267,945,605,TPA,MDW
1279,810,530,MCO,PHL
410,1325,1200,SNA,DEN
670,1740,1145,AUS,SEA
1732,900,740,DCA,CLT
4826,1514,1339,SLC,OKC
748,2245,2045,SEA,SFO
1193,2015,1405,IAH,SEA
241,2010,1735,LAX,ORD
1049,1000,825,HOU,TUL
1073,1921,1635,PHL,MIA
1634,1332,852,BOS,IAH
280,1624,1439,EWR,CLE
235,1139,917,SLC,IAH
1281,1400,1029,PHX,EWR
5152,1743,1725,MOB,ATL
4448,1446,1121,IAH,TUS
1159,1330,1235,AUS,DAL
29,2240,1850,SFO,JFK
11,2049,1720,SEA,EWR
458,1305,1010,ATL,MCI
723,1530,1306,ATL,BUF
1447,1254,948,DTW,FLL
3312,1709,1600,BPT,DFW
341,1702,1605,AUS,DFW
584,1159,937,JFK,MCO
4753,2041,1829,DAY,ORD
2276,2254,1955,IND,DFW
3479,1056,910,AZO,ORD
60,2030,1940,HOU,SAT
53,1810,1530,DTW,MSP
1993,1010,745,LAX,CLT
2333,2107,1915,SLC,MSP
900,950,840,MKE,STL
4578,1418,1040,BHM,DEN
102,1615,915,ATL,SAN
4991,1645,1321,DEN,BFL
1814,2340,2030,DAL,LGA
6,519,1815,DFW,OGG
335,2320,1800,MCO,DEN
804,1900,1735,MCI,MDW
2912,1131,810,LGA,STL
453,1002,659,PBI,JFK
416,1950,1820,BUR,DEN
4132,805,620,ATL,RIC
3337,1215,910,LEX,DFW
4396,1345,1335,MDW,DTW
2100,2147,1915,BOS,ATL
1056,1219,625,MSP,SJC
403,955,845,SFO,PHX
4515,940,705,LAS,BWI
894,1911,1715,CLT,RSW
3953,1615,1559,ORD,TVC
1190,1035,856,CAK,ATL
434,1330,1055,BWI,FLL
1086,1059,845,LGA,ATL
6033,1455,1354,IAH,SHV
1328,1408,1305,DFW,OKC
756,1349,1150,CLT,BUF
4653,2007,1830,IAH,MOB
25,2110,1815,SAN,BWI
1029,1923,1810,JFK,DCA
5531,1436,1240,DTW,HPN
5527,1456,1321,DEN,MSN
1815,1310,1145,PIT,CLT
4567,1217,948,MCI,EWR
5426,2011,1904,SBP,SFO
805,1350,1010,OGG,SMF
1236,1315,1105,ATL,BWI
406,742,600,SJC,PDX
5210,858,630,ATL,BTR
1679,1627,1255,TPA,ORD
488,955,640,LGA,MKE
64,1700,1630,KTN,WRG
1321,2215,1950,IAD,FLL
1078,2205,2050,LAX,OAK
1036,1637,1600,STT,SJU
1237,857,745,ATL,SAV
146,1343,1015,DEN,SEA
1245,2020,1525,LIT,LAS
3352,937,755,XNA,ORD
1970,1442,1320,BWI,CLT
116,1610,1410,ATL,BHM
66,546,2359,JFK,ABQ
609,702,605,DEN,IND
579,1352,1157,PHX,DEN
3415,810,710,FLL,TPA
526,1353,1120,JFK,TPA
1074,2014,1515,IAH,SAN
2236,1910,1645,ATL,PHL
3620,1634,1440,STL,LGA
1316,1158,945,LGA,ATL
1563,1806,1131,SJU,ORD
167,39,2335,FAI,ANC
187,1651,1607,HNL,KOA
5339,1241,1139,SPI,ORD
