FLIGHT_NUMBER,TAIL_NUMBER,AIRLINE
2098,N730US,US
2865,N955WN,WN
674,N7732A,WN
1152,N988DL,DL
972,N237WN,WN
542,N748SW,WN
484,N618WN,WN
5257,N528CA,EV
156,N4YJAA,AA
611,N967UW,US
2319,N998DL,DL
3499,N761RR,WN
826,N538AS,AS
871,N963DL,DL
494,N559WN,WN
1917,N623SW,WN
146,N400WN,WN
689,N921WN,WN
4256,N7736A,WN
2181,N957UW,US
794,N114UW,US
1791,N965DL,DL
2013,N122US,US
2227,N025AA,AA
1703,N77867,UA
3092,N820MQ,MQ
2490,N790SW,WN
625,N829UA,UA
7374,N440SW,OO
4921,N936EV,EV
2013,N810AW,US
1522,N607JB,B6
1996,N824AW,US
6441,N712SK,OO
4179,N497WN,WN
251,N840VA,VX
1970,N926DL,DL
5919,N13969,EV
2352,N380DA,DL
5232,N945SW,OO
1845,N270WN,WN
4153,N12175,EV
3310,N256WN,WN
743,N824UA,UA
2959,N900MQ,MQ
375,N472AA,AA
3478,N7716A,WN
2011,N926DL,DL
2509,N360NW,DL
4193,N914WN,WN
1983,N954AT,DL
1709,N111US,US
2371,N470AA,AA
1713,N476WN,WN
3067,N520MQ,MQ
1437,N19136,UA
941,N610WN,WN
478,N469WN,WN
686,N904DA,DL
1379,N999DN,DL
1533,N6705Y,DL
1258,N667DN,DL
115,N488HA,HA
4730,N441SW,OO
975,N615NK,NK
683,N388SW,WN
1348,N920FR,F9
43,N768AS,AS
5149,N873AS,EV
5504,N973SW,OO
1304,N891AT,DL
2543,N345NB,DL
2220,N979AT,DL
231,N3HCAA,AA
3830,N7703A,WN
2698,N725SW,WN
12,N227WN,WN
467,N263WN,WN
1058,N632SW,WN
2361,N3KFAA,AA
344,N563AS,AS
1533,N5FNAA,AA
1522,N12216,UA
4680,N825SK,OO
3540,N621MQ,MQ
5175,N743SK,OO
5586,N719EV,EV
3008,N610MQ,MQ
201,N211UA,UA
4253,N14977,EV
1569,N528AA,AA
209,N826UA,UA
2328,N6712B,DL
4755,N554CA,OO
4664,N11155,EV
1278,N929DL,DL
102,N527AS,AS
319,N486WN,WN
2312,N373AA,AA
1169,N329JB,B6
772,N939WN,WN
5360,N752EV,EV
4863,N16149,EV
814,N848UA,UA
802,N8616C,WN
1383,N37700,DL
2041,N708UW,US
804,N515NK,NK
3053,N813MQ,MQ
6113,N14125,EV
856,N122US,US
1334,N375JB,B6
6502,N120SY,OO
5409,N713EV,EV
1276,N466AA,AA
2486,N970AT,DL
1218,N514AA,AA
2083,N3741S,DL
530,N464UA,UA
2001,N122US,US
235,N461UA,UA
4742,N646SW,WN
1556,N3BVAA,AA
160,N298JB,B6
1583,N3MAAA,AA
4595,N16178,EV
2367,N567AA,AA
1576,N255WN,WN
1151,N568AA,AA
413,N548UW,US
1397,N751AT,DL
17,N468AS,AS
912,N919DL,DL
4830,N439SW,OO
246,N804UA,UA
1334,N3KHAA,AA
1189,N37273,UA
5779,N11544,EV
3464,N532MQ,MQ
1794,N925AT,DL
994,N4XTAA,AA
748,N631VA,VX
4881,N461WN,WN
1614,N441WN,WN
6082,N14558,EV
2241,N703TW,DL
1852,N114UW,US
853,N820AW,US
1791,N509AY,US
1320,N5FTAA,AA
1124,N3GHAA,AA
2118,N655DL,DL
5095,N980EV,EV
2276,N7738A,WN
1684,N665JB,B6
2868,N8603F,WN
1366,N3AJAA,AA
3659,N610MQ,MQ
3312,N922MQ,MQ
4541,N426SW,OO
4321,N213WN,WN
425,N157UW,US
201,N794AS,AS
6150,N14573,EV
2396,N550NW,DL
2227,N634JB,B6
260,N653SW,WN
939,N634NK,NK
2883,N355SW,WN
477,N408AS,AS
1578,N24224,UA
5137,N371CA,EV
803,N767UW,US
52,N212WN,WN
2688,N875AS,OO
404,N954FR,F9
1404,N455WN,WN
259,N509NK,NK
1480,N3JSAA,AA
969,N5CNAA,AA
3284,N824MQ,MQ
2380,N533US,DL
1164,N350NA,DL
5608,N691CA,EV
603,N461WN,WN
111,N3LGAA,AA
538,N746SW,WN
281,N821DN,DL
556,N206FR,F9
504,N821AW,US
2190,N952UW,US
936,N3LKAA,AA
1206,N38268,UA
3627,N415WN,WN
1299,N924FR,F9
3957,N915WN,WN
140,N245WN,WN
4959,N870AS,EV
703,N122US,US
2078,N331NW,DL
2705,N875AS,OO
3047,N694MQ,MQ
4526,N416WN,WN
1612,N3LLAA,AA
554,N234WN,WN
2240,N611SW,WN
5601,N137EV,EV
3606,N528MQ,MQ
1782,N556UW,US
138,N527JB,B6
1405,N697DL,DL
2479,N893AT,DL
3426,N8630B,WN
2311,N964DL,DL
1979,N127UW,US
4927,N402WN,WN
5791,N17524,EV
7391,N299SW,OO
823,N911DE,DL
759,N368JB,B6
4360,N452WN,WN
1466,N988DL,DL
386,N4YEAA,AA
1327,N312US,DL
1251,N37427,UA
1864,N712US,US
1265,N3GDAA,AA
1409,N3CLAA,AA
668,N559UW,US
4818,N170PQ,OO
1339,N3JJAA,AA
466,N828JB,B6
1212,N584NW,DL
1693,N942DL,DL
1050,N610WN,WN
2204,N3BEAA,AA
1312,N003AA,AA
2171,N464WN,WN
1913,N543US,DL
281,N7741C,WN
1159,N7746C,WN
4540,N528SW,WN
1407,N68817,UA
862,N723UW,US
1648,N906AT,DL
935,N556WN,WN
3143,N500WR,WN
4118,N13975,EV
5474,N853AS,EV
706,N547UW,US
2403,N494AA,AA
756,N616DL,DL
685,N483WN,WN
975,N4XSAA,AA
374,N8633A,WN
723,N948FR,F9
301,N239JB,B6
781,N406WN,WN
356,N832UA,UA
2198,N911DA,DL
994,N4YMAA,AA
1584,N961DN,DL
847,N529AS,AS
2889,N509JB,B6
320,N611AS,AS
476,N8609A,WN
1858,N908DA,DL
432,N243WN,WN
314,N775SW,WN
1574,N3EKAA,AA
1459,N3LUAA,AA
1121,N919DL,DL
1427,N284JB,B6
172,N340LV,WN
5262,N783SK,OO
923,N845VA,VX
97,N789JB,B6
863,,US
1125,N206JB,B6
2075,N949DN,DL
650,N517NK,NK
1051,N282WN,WN
2366,N933AT,DL
1802,N7745A,WN
4975,N856AS,EV
397,N3FLAA,AA
6023,N11107,EV
1709,N163US,US
1683,N3740C,DL
3298,N900MQ,MQ
6011,N11547,EV
1108,N229WN,WN
1705,N810AW,US
4776,N608SK,OO
2031,N826AW,US
2063,N724UW,US
503,N840AW,US
1699,N616SW,WN
3232,N614MQ,MQ
2591,N417SW,OO
905,N522VA,VX
6279,N953SW,OO
908,N706SW,WN
6344,N106SY,OO
506,N297WN,WN
1482,N366SW,WN
238,N470UA,UA
6571,N885AS,OO
5236,N919SW,OO
1763,N711UW,US
1098,N597AA,AA
536,N653SW,WN
4202,N13992,EV
3123,N614MQ,MQ
5917,N14974,EV
261,N212WN,WN
2226,N4WPAA,AA
141,N941FR,F9
1704,N122US,US
157,N925FR,F9
4752,N810SK,OO
1354,N467AA,AA
293,N786AA,AA
897,N640AW,US
4918,N759EV,EV
197,N3CDAA,AA
654,N545UW,US
4211,N796SW,WN
5158,N726SK,OO
4326,N15910,EV
616,N934JB,B6
569,N7741C,WN
153,N3HJAA,AA
3629,N656MQ,MQ
2505,N467WN,WN
4507,N15574,EV
5544,N920SW,OO
4257,N720WN,WN
2135,N464WN,WN
1602,N392DA,DL
4,N799AA,AA
1985,N960DN,DL
3266,N12967,EV
2049,N760US,US
139,N3CSAA,AA
992,N522NK,NK
4747,N242WN,WN
1090,N553NW,DL
445,N512UA,UA
2494,N946DL,DL
599,N346JB,B6
3072,N856MQ,MQ
1090,N324JB,B6
3203,N534MQ,MQ
3210,N515MQ,MQ
160,N430WN,WN
1330,N323NB,DL
1023,N481WN,WN
1243,N318JB,B6
397,N927WN,WN
4384,N346SW,WN
3041,N907MQ,MQ
880,N258WN,WN
442,N303AS,AS
3071,N676MQ,MQ
227,N4XPAA,AA
5195,N792SK,OO
2178,N617SW,WN
5221,N612QX,EV
298,N8642E,WN
4240,N13968,EV
4703,N824SK,OO
5902,N14125,EV
1912,N704X,DL
1888,N466WN,WN
628,N417UA,UA
4506,N12142,EV
2,N590HA,HA
5215,N783SK,OO
5205,N398CA,EV
828,N926FR,F9
2258,N576AA,AA
2454,N906WN,WN
6117,N22909,EV
1379,N455AA,AA
1722,N38473,UA
745,N919FR,F9
4679,N14959,EV
2358,N474AA,AA
495,N912UY,US
4721,N900WN,WN
610,N606NK,NK
573,N562AS,AS
2415,N899AT,DL
4894,N881AS,EV
1272,N68823,UA
306,N932WN,WN
4517,N7744A,WN
698,N523SW,WN
2011,N539UW,US
3357,N662MQ,MQ
213,N705JB,B6
3004,N608MQ,MQ
1027,N339JB,B6
450,N467UA,UA
644,N832AW,US
3694,N931MQ,MQ
345,N618NK,NK
755,N420UA,UA
1839,N963UW,US
4745,N14960,EV
878,N523VA,VX
3217,N633MQ,MQ
5369,N952SW,OO
3599,N851MQ,MQ
1105,N245WN,WN
1680,N698DL,DL
2599,N417SW,OO
2380,N697DL,DL
5504,N932SW,OO
1333,N400WN,WN
1374,N3746H,DL
1625,N8313F,WN
407,N954FR,F9
1981,N961UW,US
4279,N485WN,WN
4105,N14977,EV
1148,N7814B,WN
2533,N809DN,DL
896,N495WN,WN
361,N545UA,UA
759,N8624J,WN
2125,N317WN,WN
1351,N355JB,B6
3056,N695MQ,MQ
2384,N3BRAA,AA
1401,N24212,UA
4479,N15910,EV
1244,N73259,UA
1604,N517JB,B6
2101,N981DL,DL
622,N836UA,UA
5948,N29906,EV
4251,N13553,EV
5344,N870AS,EV
1851,N321US,DL
1333,N483AA,AA
2315,N570AA,AA
3017,N504MQ,MQ
1579,N41140,UA
3690,N909MQ,MQ
2527,N904EV,EV
308,N488UA,UA
714,N967UW,US
3114,N624MQ,MQ
5248,N754EV,EV
953,N8321D,WN
2257,N314NB,DL
3037,N658MQ,MQ
1971,N927WN,WN
734,N416UA,UA
83,N3EAAA,AA
1934,N770UW,US
1146,N950WN,WN
1011,N416WN,WN
1669,N7715E,WN
1684,N69806,UA
5273,N979EV,EV
1105,N3FBAA,AA
196,N3DDAA,AA
5542,N495CA,OO
2007,N594JB,B6
194,N937WN,WN
5051,N852AS,EV
5599,N986SW,OO
7,N251WN,WN
822,N265JB,B6
1200,N68822,UA
1303,N658DL,DL
956,N945DL,DL
1987,N157UW,US
2610,N864AS,OO
1542,N3762Y,DL
1529,N4YNAA,AA
236,N3BLAA,AA
763,N947UW,US
2085,N167US,US
5356,N583SW,OO
151,N633NK,NK
351,N836VA,VX
244,N452UA,UA
4611,N607SK,OO
2026,N952DN,DL
3686,N827MQ,MQ
4696,N430SW,OO
1290,N653JB,B6
2167,N375NC,DL
1292,N69806,UA
5077,N926EV,EV
5637,N910SW,OO
5007,N761ND,EV
3251,N7704B,WN
695,N197UW,US
1887,N279JB,B6
2994,N515SW,WN
4644,N603QX,OO
2308,N307DQ,DL
1391,N861AA,AA
5640,N562SW,OO
3277,N931MQ,MQ
598,N227WN,WN
2609,N957WN,WN
1090,N3DXAA,AA
1569,N57870,UA
2161,N931WN,WN
1132,N17245,UA
185,N791AA,AA
487,N828JB,B6
1822,N975AT,DL
2903,N928MQ,MQ
2419,N855AA,AA
5295,N837AS,EV
215,N477HA,HA
628,N583AS,AS
1667,N438AA,AA
69,N767AS,AS
1082,N3BMAA,AA
3212,N640SW,WN
21,N431AS,AS
1927,N556NW,DL
178,N639JB,B6
734,N534UW,US
1053,N4XGAA,AA
781,N329JB,B6
4622,N13965,EV
1327,N391SW,WN
1410,N33209,UA
326,N796JB,B6
129,N279WN,WN
2545,N906EV,EV
4546,N295WN,WN
802,N378SW,WN
572,N651AW,US
203,N633NK,NK
2197,N940DN,DL
617,N823AW,US
4288,N764SW,WN
526,N624JB,B6
601,N320AS,AS
1889,N933AT,DL
252,N3KLAA,AA
654,N595JB,B6
458,N624AG,DL
5330,N718EV,EV
780,N526SW,WN
2380,N4XKAA,AA
1773,N270WN,WN
3151,N606SW,WN
2272,N917DE,DL
6496,N703SK,OO
982,N398SW,WN
3965,N13992,EV
262,N921FR,F9
5161,N710EV,EV
1626,N590NW,DL
4914,N910WN,WN
4295,N484WN,WN
4990,N707SK,OO
1976,N260WN,WN
4173,N14162,EV
2783,N7735A,WN
2266,N911DA,DL
1695,N3LVAA,AA
993,N394DA,DL
3345,N794SW,WN
410,N8600F,WN
2466,N326US,DL
2233,N907DE,DL
1897,N535UW,US
5563,N970SW,OO
6070,N12145,EV
687,N403WN,WN
1927,N535UW,US
3093,N626MQ,MQ
2211,N978AT,DL
1084,N21108,UA
1272,N904DA,DL
5730,N832AS,EV
4571,N440SW,OO
4765,N18556,EV
4649,N12136,EV
1406,N78501,UA
1345,N945DL,DL
1136,N963DL,DL
3739,N244WN,WN
1883,N626SW,WN
3632,N941MQ,MQ
312,N633NK,NK
1141,N4XPAA,AA
4969,N953SW,OO
2563,N334NW,DL
1121,N219FR,F9
380,N3EEAA,AA
1059,N316JB,B6
5524,N719SK,OO
416,N637VA,VX
1043,N37298,UA
1578,N3744F,DL
2224,N671DN,DL
5344,N494CA,OO
943,N782SA,WN
1138,N986DL,DL
2207,N3GYAA,AA
563,N802UA,UA
3479,N648SW,WN
5918,N21537,EV
4618,N554CA,OO
1495,N917DE,DL
745,N932FR,F9
201,N212UA,UA
4210,N18101,EV
1440,N006AA,AA
1336,N3DUAA,AA
2855,N537MQ,MQ
764,N565AS,AS
7403,N446SW,OO
1061,N820DN,DL
188,N3MCAA,AA
3220,N539MQ,MQ
4214,N13979,EV
39,N261WN,WN
5617,N766SK,OO
383,N274JB,B6
4233,N7738A,WN
1100,N3GRAA,AA
3356,N502MQ,MQ
6260,N753SK,OO
342,N490UA,UA
3258,N678MQ,MQ
1120,N7720F,WN
55,N907DL,DL
4387,N14177,EV
1585,N920DL,DL
1157,N444WN,WN
1399,N301NB,DL
1412,N570AA,AA
4623,N625CA,OO
1826,N255WN,WN
343,N712SW,WN
2028,N740UW,US
2054,N809AW,US
5268,N973SW,OO
4158,N12135,EV
1891,N425LV,WN
558,N201FR,F9
218,N841VA,VX
1843,N535UW,US
5305,N719EV,EV
496,N678AW,US
1971,N125UW,US
1197,N603SW,WN
2953,N8616C,WN
789,N551AS,AS
1539,N34282,UA
1136,N8602F,WN
582,N7814B,WN
765,N529VA,VX
5404,N921EV,EV
468,N487UA,UA
963,N962WN,WN
5027,N730EV,EV
3459,N662MQ,MQ
4534,N440SW,OO
476,N950DL,DL
529,N485HA,HA
1977,N813AW,US
738,N620SW,WN
376,N691WN,WN
4441,N16541,EV
1543,N367NW,DL
533,N622AS,AS
103,N584AS,AS
1902,N321NB,DL
4811,N453SW,OO
5444,N936EV,EV
567,N8303R,WN
5086,N166PQ,EV
194,N493HA,HA
2698,N790SW,WN
515,N493HA,HA
2951,N409WN,WN
1451,N5EAAA,AA
178,N8650F,WN
316,N3BSAA,AA
1002,N496AA,AA
1043,N37434,UA
979,N924AT,DL
794,N213FR,F9
2199,N234WN,WN
1958,N746UW,US
205,N3GNAA,AA
1366,N3KKAA,AA
850,N804AW,US
4095,N11176,EV
737,N523VA,VX
369,N5EBAA,AA
1700,N701GS,WN
3373,N692MQ,MQ
3488,N219AG,OO
1499,N697DL,DL
1080,N213WN,WN
880,N7742B,WN
4095,N26549,EV
3262,N942MQ,MQ
1947,N717UW,US
1122,N255WN,WN
1376,N904DL,DL
717,N329JB,B6
2577,N417SW,OO
4922,N936WN,WN
3386,N647MQ,MQ
690,N917WN,WN
3199,N847MQ,MQ
5401,N842AS,EV
1426,N3DCAA,AA
7377,N460SW,OO
4190,N33182,EV
2204,N5ELAA,AA
498,N7750A,WN
4855,N800SK,OO
7420,N823AS,OO
143,N8638A,WN
1225,N27213,UA
848,N468UA,UA
324,N509UA,UA
398,N570JB,B6
1392,N4YAAA,AA
1769,N650AW,US
5554,N695CA,EV
1808,N922AT,DL
885,N519AS,AS
354,N586JB,B6
1095,N565AA,AA
4646,N17196,EV
2210,N750AT,DL
515,N843UA,UA
507,N602AW,US
423,N820UA,UA
1448,N905DA,DL
715,N258JB,B6
910,N844VA,VX
715,N404UA,UA
3229,N531MQ,MQ
1014,N3JHAA,AA
1638,N3JGAA,AA
1624,N861AA,AA
5257,N686BR,EV
5565,N859AS,EV
329,N768JB,B6
865,N636JB,B6
703,N661JB,B6
1703,N16713,UA
27,N5EKAA,AA
355,N814UA,UA
2030,N965UW,US
1819,N952DL,DL
4950,N717EV,EV
5736,N827AS,EV
5413,N916SW,OO
1178,N764SW,WN
380,N821UA,UA
4090,N14117,EV
1934,N833AW,US
917,N761RR,WN
4091,N13550,EV
619,N529NK,NK
1124,N389SW,WN
5378,N912SW,OO
2938,N928MQ,MQ
5603,N790SK,OO
413,N622VA,VX
453,N805UA,UA
2423,N4WKAA,AA
7382,N935SW,OO
1704,N706SW,WN
1735,N167US,US
2863,N648MQ,MQ
456,N448UA,UA
2805,N733SA,WN
6250,N946SW,OO
1171,N674DL,DL
1074,N3JMAA,AA
6480,N912SW,OO
402,N7733B,WN
1536,N19117,UA
820,N371NB,DL
3573,N7736A,WN
1876,N819AW,US
685,N459AS,AS
1741,N683DA,DL
430,N421LV,WN
3199,N851MQ,MQ
3256,N621MQ,MQ
406,N493UA,UA
656,N554JB,B6
1640,N965DN,DL
1479,N3ETAA,AA
5905,N11164,EV
60,N351AA,AA
1439,N934DN,DL
1151,N571AA,AA
162,N645JB,B6
1285,N33289,UA
806,N414UA,UA
6415,N943SW,OO
343,N494WN,WN
706,N565JB,B6
454,N6715C,DL
4701,N214WN,WN
1237,N828DN,DL
5397,N758EV,EV
2293,N5ELAA,AA
3114,N661MQ,MQ
4537,N630SK,OO
1637,N3FCAA,AA
1071,N211WN,WN
1836,N908DE,DL
1385,N675DL,DL
159,N351JB,B6
166,N912FR,F9
3,N903JB,B6
1201,N3EPAA,AA
4670,N429SW,OO
4107,N16178,EV
2638,N435SW,OO
38,N528SW,WN
150,N955DL,DL
5375,N563SW,OO
205,N477HA,HA
331,N956WN,WN
4653,N11107,EV
1221,N932FR,F9
1745,N73860,UA
1083,N68801,UA
1156,N494WN,WN
1717,N940DN,DL
38,N526SW,WN
1145,N76265,UA
5346,N290SW,OO
5465,N943SW,OO
4760,N12996,EV
5982,N26545,EV
1083,N541AA,AA
4865,N11547,EV
1701,N37468,UA
1101,N5EHAA,AA
358,N3BFAA,AA
2477,N855AA,AA
5997,N16183,EV
35,N431AS,AS
2524,N901EV,EV
425,N3746H,DL
6352,N905SW,OO
4069,N437WN,WN
954,N249WN,WN
4461,N16561,EV
180,N587NK,NK
3320,N802MQ,MQ
948,N840VA,VX
133,N821JB,B6
4908,N197PQ,EV
1808,N708SW,WN
1014,N69818,UA
1960,N105UW,US
315,N910WN,WN
3458,N696MQ,MQ
303,N3LEAA,AA
1041,N009AA,AA
2185,N945UW,US
434,N276WN,WN
1927,N218WN,WN
403,N562WN,WN
794,N204FR,F9
4547,N915EV,OO
371,N941WN,WN
3697,N932MQ,MQ
333,N484HA,HA
4369,N14916,EV
135,N435AS,AS
2514,N906EV,EV
524,N944JB,B6
2779,N464WN,WN
3305,N370SW,WN
5962,N16525,EV
910,N466UA,UA
408,N207FR,F9
548,N461AS,AS
1199,N14704,UA
4447,N12163,EV
2214,N019AA,AA
1961,N971UY,US
2080,N320US,DL
3323,N375SW,WN
1872,N470WN,WN
292,N223WN,WN
2625,N465SW,OO
2942,N673MQ,MQ
3227,N699MQ,MQ
3939,N903WN,WN
6171,N31131,EV
2166,N361NW,DL
632,N243WN,WN
4652,N608SK,OO
2953,N8315C,WN
242,N492HA,HA
880,N336NB,DL
255,N921WN,WN
3745,N417WN,WN
7384,N426SW,OO
892,N592AS,AS
752,N622AS,AS
1207,N371NB,DL
806,N3730B,DL
1140,N219FR,F9
5235,N730SK,OO
164,N605JB,B6
310,N571AA,AA
766,N502UA,UA
530,N902FR,F9
3585,N500MQ,MQ
156,N476WN,WN
1281,N75429,UA
1845,N695DL,DL
2645,N927AT,DL
584,N257WN,WN
3206,N723SW,WN
733,N532NK,NK
4914,N846AS,EV
382,N565AA,AA
1816,N805DN,DL
42,N392HA,HA
2384,N3KKAA,AA
436,N577AS,AS
1636,N200AA,AA
2232,N353SW,WN
3499,N928MQ,MQ
4860,N14116,EV
4909,N615QX,EV
1237,N923DL,DL
4883,N843AS,EV
696,N622AS,AS
535,N394SW,WN
4498,N935SW,OO
1810,N929DL,DL
5328,N839AS,EV
3676,N628SW,WN
664,N902AW,US
4098,N12530,EV
2186,N946UW,US
205,N484WN,WN
162,N516JB,B6
1705,N371NW,DL
2625,N465SW,OO
1968,N386SW,WN
4425,N7727A,WN
1741,N392DA,DL
2,N629VA,VX
1621,N392DA,DL
543,N481HA,HA
1263,N73860,UA
6018,N12172,EV
3,N788AA,AA
5317,N528CA,EV
4458,N455CA,OO
769,N213FR,F9
5466,N153PQ,EV
1711,N12238,UA
4475,N659BR,OO
1988,N822DN,DL
2187,N8314L,WN
5030,N883AS,EV
680,N625NK,NK
115,N3CTAA,AA
2062,N565UW,US
4960,N860AS,EV
721,N585JB,B6
795,N646SW,WN
805,N513AS,AS
1169,N3758Y,DL
5185,N986CA,OO
4435,N16999,EV
3267,N16183,EV
1297,N964DL,DL
